"ASSEMBLY","HAS_ACR","HAS_ST","HAS_CRISPR","ST_MM0","ST_MM15","HAS_PROPHAGE","HAS_ST_PRO","ST_MM0_PRO","ST_MM15_PRO","HAS_ARRAY","HAS_CAS","SPECIES","GENUS","KINGDOM","DEF_ORG","DEF_COMP","TAXID","N_CONTIG"
"GCF_003798125.1",0,1,1,0,1,1,1,0,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain H25883 chromosome","complete genome",287,1
"GCF_003798145.1",0,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain H26023 chromosome","complete genome",287,1
"GCF_003812165.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain FDAARGOS_532 chromosome","complete genome",287,3
"GCF_003812885.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain FDAARGOS_571 chromosome","complete genome",287,1
"GCF_003812905.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain FDAARGOS_501 chromosome","complete genome",287,1
"GCF_003813005.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain FDAARGOS_505 chromosome","complete genome",287,1
"GCF_003813025.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain FDAARGOS_570 chromosome","complete genome",287,2
"GCF_003950015.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain IMP-13 chromosome","complete genome",287,2
"GCF_003950255.1",0,1,1,1,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain SP4371 chromosome","complete genome",287,1
"GCF_003952325.1",0,1,1,1,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain B17932 chromosome","complete genome",287,1
"GCF_003957825.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain GIMC5015:PAKB6","complete sequence",287,1
"GCF_003991465.1",0,1,1,1,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain SP4527 chromosome","complete genome",287,1
"GCF_004010895.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain LW chromosome","complete genome",287,1
"GCF_004102665.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain PAO1161 chromosome","complete genome",287,1
"GCF_004193735.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain 1334/14 chromosome","complete genome",287,1
"GCF_004291075.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain E80 chromosome","complete genome",287,1
"GCF_900069025.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa DK1 genome assembly Pseudomonas aeruginosa DK1 substr. NH57388A","chromosome : I",1356855,1
"GCF_900070375.1",0,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa genome assembly PAO1OR","chromosome : I",287,1
"GCF_900185255.1",0,1,1,0,1,1,0,0,0,1,1,"Pseudomonas aeruginosa C-NN2","Pseudomonas","Bacteria","Pseudomonas aeruginosa C-NN2 isolate early isolate NN2 (clone C) genome assembly","chromosome: I",910265,1
"GCF_900636735.1",1,1,1,1,1,1,1,1,1,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain NCTC11445 genome assembly","chromosome: 1",287,1
"GCF_900636755.1",1,0,0,0,0,0,0,0,0,0,0,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain NCTC12903 genome assembly","chromosome: 1",287,1
"GCF_900636975.1",0,0,1,0,0,0,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain NCTC13715 genome assembly","chromosome: 1",287,1
"GCF_900637045.1",0,0,1,0,0,1,0,0,0,1,1,"Pseudomonas aeruginosa","Pseudomonas","Bacteria","Pseudomonas aeruginosa strain NCTC10728 genome assembly","chromosome: 1",287,1
